score,paper,scenario,plausible_yes_no,confidence_low_med_high,notes
0.313934,Paper10_BRIDGET,ResearchHITeam,,,
0.302328,Paper9_FaceMatchingDecisionSupport,ResearchHITeam,,,
0.229765,Paper5_PastEnvironments,HealthcareDiagnosisTeam,,,
0.220408,Paper3_HybridMoralDecisionMaking,ChildEducationTeam,,,
0.217748,Paper9_FaceMatchingDecisionSupport,ChildEducationTeam,,,
0.214221,Paper7_OrganDonationSimulation,ChildEducationTeam,,,
0.208054,Paper6_SocialAIHealthyLifestyle,ResearchHITeam,,,
0.206871,Paper4_EEGTrustCalibration,ChildEducationTeam,,,
0.206579,Paper1_TrustFactorsGame,ResearchHITeam,,,
0.18029,Paper2_GazeAwarenessVR,HealthcareDiagnosisTeam,,,
